,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
Rk,School,Conf,W,L,Pct,W,L,Pct,Off,Def,SRS,SOS,AP Pre,AP High,AP Rank,Notes
62,UTSA,CUSA (West),4,8,.333,3,5,.375,20.3,33.9,-14.08,-5.08,,,,
63,Rice,CUSA (West),3,9,.250,3,5,.375,17.9,25.9,-10.46,-3.21,,,,
64,UTEP,CUSA (West),1,11,.083,0,8,.000,19.6,35.9,-23.10,-8.52,,,,
65,Liberty,Ind,8,5,.615,,,,32.8,28.1,-5.70,-8.54,,,,
66,New Mexico State,Ind,2,10,.167,,,,21.7,41.0,-16.86,-3.78,,,,
67,Massachusetts,Ind,1,11,.083,,,,19.8,52.7,-29.95,-8.87,,,,
68,Notre Dame,Ind,11,2,.846,,,,36.8,17.9,17.22,3.30,9,7,12,
69,BYU,Ind,7,6,.538,,,,28.5,25.5,0.85,-1.23,,,,
70,Army,Ind,5,8,.385,,,,28.5,23.0,-4.23,-4.70,,,,
71,Miami (OH),MAC (East),8,6,.571,6,2,.750,24.1,28.1,-3.03,-1.67,,,,
72,Buffalo,MAC (East),8,5,.615,5,3,.625,31.5,21.3,1.44,-6.49,,,,
73,Kent State,MAC (East),7,6,.538,5,3,.625,29.2,31.8,-4.19,-3.73,,,,
74,Ohio,MAC (East),7,6,.538,5,3,.625,34.3,26.5,-2.70,-6.32,,,,
75,Bowling Green,MAC (East),3,9,.250,2,6,.250,16.0,38.6,-16.08,-3.66,,,,
76,Akron,MAC (East),0,12,.000,0,8,.000,10.5,36.3,-26.64,-7.06,,,,
77,Central Michigan,MAC (West),8,6,.571,6,2,.750,30.4,28.3,-2.98,-6.41,,,,
78,Western Michigan,MAC (West),7,6,.538,5,3,.625,33.1,25.9,-1.77,-5.85,,,,
79,Ball State,MAC (West),5,7,.417,4,4,.500,34.8,31.4,-3.51,-4.43,,,,
80,Northern Illinois,MAC (West),5,7,.417,4,4,.500,22.8,28.2,-10.01,-5.68,,,,
81,Toledo,MAC (West),6,6,.500,3,5,.375,27.3,32.2,-8.76,-5.26,,,,
82,Eastern Michigan,MAC (West),6,7,.462,3,5,.375,29.2,30.6,-7.50,-5.81,,,,
83,Boise State,MWC (Mountain),12,2,.857,8,0,1.000,34.7,21.9,8.94,-2.28,,14,23,
84,Air Force,MWC (Mountain),11,2,.846,7,1,.875,34.1,19.8,10.47,-2.22,,22,22,
85,Utah State,MWC (Mountain),7,6,.538,6,2,.750,29.2,30.7,-1.93,-0.31,,,,
86,Wyoming,MWC (Mountain),8,5,.615,4,4,.500,25.4,17.8,1.33,-4.28,,,,
87,Colorado State,MWC (Mountain),4,8,.333,3,5,.375,28.1,31.2,-6.84,-3.59,,,,
88,New Mexico,MWC (Mountain),2,10,.167,0,8,.000,22.3,37.2,-13.70,-2.20,,,,
89,San Diego State,MWC (West),10,3,.769,5,3,.625,21.2,12.7,1.69,-5.85,,24,,
90,Hawaii,MWC (West),10,5,.667,5,3,.625,33.9,31.9,0.19,-1.75,,,,
91,Nevada,MWC (West),7,6,.538,4,4,.500,21.3,31.9,-8.64,-4.80,,,,
92,San Jose State,MWC (West),5,7,.417,2,6,.250,30.1,31.9,-6.08,-3.83,,,,
93,Fresno State,MWC (West),4,8,.333,2,6,.250,30.0,30.1,-4.53,-3.12,,,,
94,Nevada-Las Vegas,MWC (West),4,8,.333,2,6,.250,24.2,33.0,-11.55,-3.97,,,,
95,Oregon,Pac-12 (North),12,2,.857,8,1,.889,35.4,16.5,17.02,3.60,11,5,5,
96,California,Pac-12 (North),8,5,.615,4,5,.444,21.2,21.9,3.39,2.69,,15,,
97,Washington,Pac-12 (North),8,5,.615,4,5,.444,32.0,19.4,12.38,2.68,13,13,,
98,Oregon State,Pac-12 (North),5,7,.417,4,5,.444,31.2,32.5,2.01,3.18,,,,
99,Washington State,Pac-12 (North),6,7,.462,3,6,.333,37.8,31.4,3.86,2.01,23,19,,
100,Stanford,Pac-12 (North),4,8,.333,3,6,.333,21.7,29.8,-2.38,5.70,25,23,,
101,Utah,Pac-12 (South),11,3,.786,8,1,.889,32.3,15.0,14.86,2.29,14,5,16,
102,USC,Pac-12 (South),8,5,.615,7,2,.778,32.5,29.4,8.87,5.64,,21,,
103,Arizona State,Pac-12 (South),8,5,.615,4,5,.444,24.8,22.4,4.72,2.34,,17,,
104,UCLA,Pac-12 (South),4,8,.333,4,5,.444,26.7,34.8,-0.55,4.95,,,,
105,Colorado,Pac-12 (South),5,7,.417,3,6,.333,23.5,31.8,-0.02,5.07,,,,
106,Arizona,Pac-12 (South),4,8,.333,2,7,.222,26.9,35.8,-4.25,3.17,,,,
107,Georgia,SEC (East),12,2,.857,7,1,.875,30.8,12.6,17.64,5.21,3,3,4,
108,Florida,SEC (East),11,2,.846,6,2,.750,33.2,15.5,15.22,2.91,8,6,6,
109,Tennessee,SEC (East),8,5,.615,5,3,.625,24.2,21.7,5.13,2.74,,,,
110,Kentucky,SEC (East),8,5,.615,3,5,.375,27.2,19.3,5.92,0.15,,,,
111,Missouri,SEC (East),6,6,.500,3,5,.375,25.3,19.4,2.88,0.46,,22,,
112,South Carolina,SEC (East),4,8,.333,3,5,.375,22.4,26.1,1.34,7.34,,,,
113,Vanderbilt,SEC (East),3,9,.250,1,7,.125,16.5,31.8,-10.28,2.97,,,,
114,LSU,SEC (West),15,0,1.000,8,0,1.000,48.4,21.9,25.80,6.60,6,1,1,
115,Alabama,SEC (West),11,2,.846,6,2,.750,47.2,18.6,21.11,2.81,2,1,8,
116,Auburn,SEC (West),9,4,.692,5,3,.625,33.2,19.5,16.26,7.72,16,7,14,
117,Texas A&M,SEC (West),8,5,.615,4,4,.500,29.5,22.5,10.02,5.09,12,12,,
118,Mississippi State,SEC (West),6,7,.462,3,5,.375,27.6,28.8,4.87,5.95,,,,
119,Ole Miss,SEC (West),4,8,.333,2,6,.250,26.6,26.5,2.24,3.82,,,,
120,Arkansas,SEC (West),2,10,.167,0,8,.000,21.4,36.8,-6.58,4.84,,,,
121,Appalachian State,Sun Belt (East),13,1,.929,7,1,.875,38.8,20.0,11.49,-3.80,,19,19,
122,Georgia Southern,Sun Belt (East),7,6,.538,5,3,.625,28.2,28.2,-0.07,-1.61,,,,
123,Georgia State,Sun Belt (East),7,6,.538,4,4,.500,31.2,36.2,-6.61,-3.84,,,,
124,Troy,Sun Belt (East),5,7,.417,3,5,.375,33.8,34.8,-5.01,-5.42,,,,
125,Coastal Carolina,Sun Belt (East),5,7,.417,2,6,.250,30.3,30.5,-7.02,-6.02,,,,
126,Louisiana,Sun Belt (West),11,3,.786,7,1,.875,37.9,19.7,8.68,-3.25,,,,
127,Arkansas State,Sun Belt (West),8,5,.615,5,3,.625,33.7,34.2,-1.78,-3.93,,,,
128,Louisiana-Monroe,Sun Belt (West),5,7,.417,4,4,.500,31.6,38.7,-4.92,-1.26,,,,
129,Texas State,Sun Belt (West),3,9,.250,2,6,.250,18.4,32.6,-12.38,-1.29,,,,
130,South Alabama,Sun Belt (West),2,10,.167,1,7,.125,18.4,30.7,-12.28,-1.44,,,,
