,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
75,Buffalo,MAC (East),4,8,.333,2,6,.250,29.3,29.9,-9.41,-5.58,,,,
76,Akron,MAC (East),2,10,.167,1,7,.125,19.8,39.5,-16.82,-4.41,,,,
77,Northern Illinois,MAC (West),9,5,.643,6,2,.750,32.2,33.7,-1.18,-3.04,,,,
78,Central Michigan,MAC (West),9,4,.692,6,2,.750,32.3,25.8,1.35,-4.57,,,,
79,Toledo,MAC (West),7,6,.538,5,3,.625,33.4,21.8,0.28,-6.34,,,,
80,Western Michigan,MAC (West),8,5,.615,4,4,.500,32.5,28.2,1.08,-2.62,,,,
81,Eastern Michigan,MAC (West),7,6,.538,4,4,.500,30.2,30.0,-3.88,-4.80,,,,
82,Ball State,MAC (West),6,7,.462,4,4,.500,24.1,28.4,-5.56,-2.56,,,,
83,Utah State,MWC (Mountain),11,3,.786,6,2,.750,32.6,24.4,5.17,-3.04,,24,24,
84,Air Force,MWC (Mountain),10,3,.769,6,2,.750,31.0,19.8,8.70,-1.84,,,,
85,Boise State,MWC (Mountain),7,5,.583,5,3,.625,29.2,19.0,8.85,2.02,,,,
86,Wyoming,MWC (Mountain),7,6,.538,2,6,.250,25.4,23.7,-3.14,-4.52,,,,
87,Colorado State,MWC (Mountain),3,9,.250,2,6,.250,23.7,28.3,-6.57,-2.16,,,,
88,New Mexico,MWC (Mountain),3,9,.250,1,7,.125,12.2,28.4,-14.33,-1.08,,,,
89,San Diego State,MWC (West),12,2,.857,7,1,.875,27.4,19.8,6.38,-2.48,,19,25,
90,Fresno State,MWC (West),10,3,.769,6,2,.750,33.4,20.5,4.88,-3.89,,18,,
91,Nevada,MWC (West),8,5,.615,5,3,.625,35.7,26.5,3.47,-1.99,,,,
92,Hawaii,MWC (West),6,7,.462,3,5,.375,28.8,31.4,-5.19,-3.58,,,,
93,San Jose State,MWC (West),5,7,.417,3,5,.375,20.0,26.5,-9.11,-3.19,,,,
94,Nevada-Las Vegas,MWC (West),2,10,.167,2,6,.250,20.8,32.8,-9.02,0.32,,,,
95,Oregon,Pac-12 (North),10,4,.714,7,2,.778,31.4,27.0,6.22,1.93,11,3,22,
96,Washington State,Pac-12 (North),7,6,.538,6,3,.667,27.8,24.2,3.05,-0.02,,,,
97,Oregon State,Pac-12 (North),7,6,.538,5,4,.556,31.2,25.8,4.16,0.09,,,,
98,California,Pac-12 (North),5,7,.417,4,5,.444,23.8,22.3,-1.32,-2.07,,,,
99,Washington,Pac-12 (North),4,8,.333,3,6,.333,21.5,22.7,-4.65,-0.90,20,20,,
100,Stanford,Pac-12 (North),3,9,.250,2,7,.222,20.4,32.4,-5.79,3.72,,,,
101,Utah,Pac-12 (South),10,4,.714,8,1,.889,36.1,22.6,12.26,1.62,24,10,12,
102,UCLA,Pac-12 (South),8,4,.667,6,3,.667,36.5,26.8,7.25,-0.25,,13,,
103,Arizona State,Pac-12 (South),8,5,.615,6,3,.667,28.4,20.8,6.49,-0.74,25,18,,
104,Colorado,Pac-12 (South),4,8,.333,3,6,.333,18.8,26.7,-6.60,1.65,,,,
105,USC,Pac-12 (South),4,8,.333,3,6,.333,28.7,31.8,-1.70,1.80,15,14,,
106,Arizona,Pac-12 (South),1,11,.083,1,8,.111,17.2,31.4,-12.40,1.44,,,,
107,Georgia,SEC (East),14,1,.933,8,0,1.000,38.6,10.2,24.62,5.62,5,1,1,
108,Kentucky,SEC (East),10,3,.769,5,3,.625,32.3,21.7,8.73,0.50,,11,18,
109,Tennessee,SEC (East),7,6,.538,4,4,.500,39.3,29.1,7.97,3.50,,,,
110,South Carolina,SEC (East),7,6,.538,3,5,.375,22.6,24.0,2.08,3.31,,,,
111,Missouri,SEC (East),6,7,.462,3,5,.375,29.1,33.8,0.37,3.22,,,,
112,Florida,SEC (East),6,7,.462,2,6,.250,30.7,26.8,4.37,2.14,13,10,,
113,Vanderbilt,SEC (East),2,10,.167,0,8,.000,15.8,35.8,-12.61,1.30,,,,
114,Alabama,SEC (West),13,2,.867,7,1,.875,39.9,20.1,19.62,5.69,1,1,2,
115,Ole Miss,SEC (West),10,3,.769,6,2,.750,33.7,24.7,11.43,4.05,,8,11,
116,Arkansas,SEC (West),9,4,.692,4,4,.500,30.9,22.9,11.54,4.62,,8,21,
117,Texas A&M,SEC (West),8,4,.667,4,4,.500,29.3,15.9,10.77,1.27,6,5,,
118,Mississippi State,SEC (West),7,6,.538,4,4,.500,29.1,25.9,5.01,3.48,,,,
119,Auburn,SEC (West),6,7,.462,3,5,.375,28.3,21.8,6.66,5.73,,12,,
120,LSU,SEC (West),6,7,.462,3,5,.375,26.5,26.6,4.74,5.28,16,16,,
121,Appalachian State,Sun Belt (East),10,4,.714,7,1,.875,34.5,22.1,7.28,-2.43,,,,
122,Coastal Carolina,Sun Belt (East),11,2,.846,6,2,.750,40.9,21.6,3.98,-8.94,22,14,,
123,Georgia State,Sun Belt (East),8,5,.615,6,2,.750,28.2,27.1,-0.83,-2.98,,,,
124,Troy,Sun Belt (East),5,7,.417,3,5,.375,22.8,26.1,-7.53,-4.03,,,,
125,Georgia Southern,Sun Belt (East),3,9,.250,2,6,.250,20.3,31.4,-12.01,-2.34,,,,
126,Louisiana,Sun Belt (West),13,1,.929,8,0,1.000,31.1,18.5,6.32,-4.82,23,16,16,
127,Texas State,Sun Belt (West),4,8,.333,3,5,.375,23.1,33.0,-12.12,-5.70,,,,
128,South Alabama,Sun Belt (West),5,7,.417,2,6,.250,24.9,26.4,-6.56,-6.06,,,,
129,Louisiana-Monroe,Sun Belt (West),4,8,.333,2,6,.250,20.9,33.5,-9.82,-1.99,,,,
130,Arkansas State,Sun Belt (West),2,10,.167,1,7,.125,25.3,38.6,-14.30,-3.97,,,,
