,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
331,Virginia Commonwealth,31,18,13,.581,9.66,4.08,,8,10,,14,4,,4,7,,2193,2020,,1245,775,1792,.432,231,667,.346,412,592,.696,306,1039,409,278,134,384,569
332,VMI,33,9,24,.273,-6.92,-2.72,,3,15,,5,10,,2,12,,2380,2346,,1340,852,1991,.428,359,1012,.355,317,448,.708,334,1180,528,222,83,418,591
333,Virginia Tech,32,16,16,.500,8.22,6.16,,7,13,,12,6,,3,7,,2194,2128,,1310,787,1877,.419,315,896,.352,305,429,.711,240,1086,468,193,95,317,472
334,Wagner,29,8,21,.276,-14.79,-5.57,,5,13,,5,8,,3,13,,1982,2210,,1175,706,1710,.413,204,644,.317,366,504,.726,312,983,374,174,68,398,604
335,Wake Forest,31,13,18,.419,6.69,8.14,,6,14,,9,5,,1,11,,2276,2321,,1260,765,1769,.432,204,582,.351,542,726,.747,315,1170,395,151,87,440,592
336,Washington,32,15,17,.469,12.41,8.25,,5,13,,10,7,,3,7,,2259,2126,,1290,778,1763,.441,220,677,.325,483,669,.722,282,1128,399,236,192,481,555
337,Washington State,32,16,16,.500,5.13,4.94,,6,12,,11,5,,2,9,,2235,2229,,1290,776,1952,.398,237,768,.309,446,600,.743,344,1165,370,218,85,394,562
338,Weber State,32,12,20,.375,-8.32,-0.66,,8,12,,8,6,,4,9,,2225,2280,,1290,821,1814,.453,213,661,.322,370,510,.725,232,1023,347,164,125,378,453
339,West Virginia,31,21,10,.677,18.51,10.64,,9,9,,14,2,,4,8,,2179,1935,,1245,774,1833,.422,155,542,.286,476,742,.642,470,1254,383,238,111,447,572
340,Western Carolina,31,19,12,.613,-0.10,-1.55,,10,8,,10,4,,8,7,,2444,2317,,1250,837,1790,.468,302,818,.369,468,659,.710,302,1165,449,165,56,445,532
341,Western Illinois,26,5,21,.192,-14.28,-3.03,,2,14,,4,10,,1,11,,1934,2126,,1050,710,1667,.426,226,612,.369,288,368,.783,216,882,267,129,57,290,467
342,Western Kentucky,30,20,10,.667,4.20,0.96,,13,5,,12,2,,6,6,,2297,2160,,1225,779,1703,.457,212,627,.338,527,668,.789,252,1013,334,201,119,370,413
343,Western Michigan,32,13,19,.406,-5.42,-0.25,,6,12,,10,5,,3,12,,2220,2306,,1295,767,1791,.428,228,676,.337,458,641,.715,276,1120,356,152,73,416,573
344,Wichita State,31,23,8,.742,13.66,5.60,,11,7,,17,2,,5,5,,2227,1977,,1250,769,1891,.407,244,744,.328,445,638,.697,374,1218,437,219,115,396,577
345,William & Mary,32,21,11,.656,-2.46,-3.10,,13,5,,11,2,,10,7,,2288,2208,,1280,822,1770,.464,239,690,.346,405,544,.744,265,1152,435,138,128,403,500
346,Winthrop,34,24,10,.706,1.16,-6.53,,15,3,,11,4,,10,6,,2765,2431,,1375,980,2120,.462,322,931,.346,483,760,.636,450,1388,542,225,84,471,683
347,Wisconsin,31,21,10,.677,15.95,10.95,,14,6,,15,1,,6,6,,2082,1927,,1245,730,1718,.425,269,764,.352,353,462,.764,251,1051,373,138,114,309,476
348,Wofford,35,19,16,.543,0.17,-1.50,,8,10,,10,5,,6,10,,2523,2399,,1415,909,1969,.462,336,948,.354,369,518,.712,272,1094,467,198,91,424,593
349,Wright State,32,25,7,.781,2.46,-6.21,,15,3,,14,2,,9,3,,2580,2264,,1295,917,2010,.456,247,684,.361,499,741,.673,388,1279,443,209,113,396,516
350,Wyoming,33,9,24,.273,-3.05,4.82,,2,16,,4,13,,3,8,,2070,2308,,1335,712,1739,.409,260,809,.321,386,531,.727,161,972,374,175,66,418,626
351,Xavier,32,19,13,.594,12.57,9.47,,8,10,,12,5,,5,6,,2261,2162,,1305,833,1912,.436,207,664,.312,388,590,.658,380,1241,460,201,114,446,535
352,Yale,30,23,7,.767,6.63,-1.51,,11,3,,10,1,,11,6,,2289,1954,,1240,809,1726,.469,265,714,.371,406,570,.712,273,1166,464,188,101,389,449
353,Youngstown State,33,18,15,.545,-5.56,-4.79,,10,8,,13,4,,5,11,,2401,2351,,1335,870,2055,.423,236,765,.308,425,616,.690,451,1286,413,188,85,397,579
