,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
63,Dartmouth,29,12,17,.414,-4.17,-3.20,,5,9,,6,6,,5,10,,1894,1872,,1170,700,1582,.442,201,629,.320,293,433,.677,195,1015,364,134,74,354,483
64,Davidson,30,16,14,.533,8.85,3.62,,10,8,,11,1,,4,9,,2182,2025,,1230,755,1667,.453,272,741,.367,400,525,.762,239,992,422,164,80,331,482
65,Dayton,31,29,2,.935,19.17,3.69,,18,0,,17,0,,9,0,,2480,2000,,1255,905,1725,.525,249,672,.371,421,585,.720,242,1085,546,176,109,377,529
66,Delaware,33,22,11,.667,-1.53,-3.84,,11,7,,10,3,,7,6,,2452,2332,,1325,881,1833,.481,251,705,.356,439,579,.758,252,1107,431,180,109,423,544
67,Delaware State,32,6,26,.188,-20.87,-9.54,,4,12,,3,11,,2,13,,2350,2655,,1290,824,2004,.411,249,791,.315,453,661,.685,335,1142,334,220,71,488,663
68,Denver,31,7,24,.226,-10.06,-1.99,,3,13,,6,8,,0,14,,2135,2360,,1250,770,1734,.444,162,504,.321,433,628,.689,221,1037,347,182,71,428,627
69,DePaul,32,16,16,.500,7.63,8.95,,3,15,,11,7,,4,9,,2262,2274,,1290,832,1906,.437,181,579,.313,417,634,.658,371,1191,434,257,159,469,611
70,Detroit Mercy,31,8,23,.258,-9.87,-1.90,,6,12,,5,8,,2,14,,2175,2422,,1245,724,1850,.391,263,815,.323,464,593,.782,360,1118,322,179,94,421,520
71,Drake,34,20,14,.588,0.43,0.61,,8,10,,14,2,,2,10,,2359,2302,,1365,854,1864,.458,245,711,.345,406,569,.714,255,1149,507,187,132,438,566
72,Drexel,33,14,19,.424,-5.38,-2.20,,6,12,,10,5,,1,13,,2254,2323,,1325,821,1860,.441,241,690,.349,371,530,.700,344,1162,475,186,93,481,538
73,Duke,31,25,6,.806,22.55,8.00,,15,5,,15,2,,7,4,,2558,2107,,1260,920,1957,.470,217,617,.352,501,696,.720,394,1244,479,258,188,409,557
74,Duquesne,30,21,9,.700,6.77,1.67,,11,7,,10,4,,6,3,,2146,1993,,1215,758,1711,.443,235,738,.318,395,562,.703,300,1038,428,207,161,378,463
75,East Carolina,31,11,20,.355,-2.27,1.82,,5,13,,9,7,,1,11,,2111,2238,,1250,741,1759,.421,162,577,.281,467,647,.722,297,1095,424,202,93,426,642
76,East Tennessee State,34,30,4,.882,7.63,-1.82,,16,2,,16,1,,11,3,,2593,2146,,1360,919,1936,.475,260,752,.346,495,713,.694,370,1206,471,278,121,412,598
77,Eastern Illinois,32,17,15,.531,-5.08,-7.41,,9,9,,10,2,,5,11,,2377,2214,,1290,890,1944,.458,215,629,.342,382,579,.660,342,1169,449,245,141,402,526
78,Eastern Kentucky,33,16,17,.485,-9.17,-4.46,,12,6,,10,4,,5,10,,2464,2488,,1320,857,2084,.411,268,835,.321,482,664,.726,334,1113,397,307,70,461,602
79,Eastern Michigan,32,16,16,.500,-3.12,0.95,,6,12,,11,4,,3,12,,2078,2050,,1280,725,1703,.426,180,643,.280,448,714,.627,313,1085,311,314,105,458,544
80,Eastern Washington,31,23,8,.742,2.01,-1.81,,16,4,,13,2,,10,6,,2509,2259,,1250,913,1986,.460,288,826,.349,395,569,.694,328,1186,544,221,112,398,578
81,Elon,34,13,21,.382,-7.81,-2.03,,7,11,,8,8,,3,12,,2337,2438,,1365,805,1932,.417,346,952,.363,381,518,.736,282,1108,453,160,64,392,660
82,Evansville,32,9,23,.281,-7.04,0.61,,0,18,,5,10,,3,10,,2149,2368,,1310,746,1769,.422,241,750,.321,416,570,.730,224,1005,392,152,74,406,534
83,Fairfield,32,12,20,.375,-9.65,-4.81,,8,12,,5,8,,6,9,,1857,2012,,1300,651,1669,.390,138,486,.284,417,600,.695,327,1099,276,164,88,440,524
84,FDU,30,11,19,.367,-9.94,-5.87,,9,9,,7,5,,4,14,,2167,2236,,1210,787,1740,.452,222,622,.357,371,513,.723,273,1007,356,191,99,389,489
85,Florida,31,19,12,.613,14.94,9.10,,11,7,,11,4,,4,7,,2228,2047,,1250,791,1729,.457,221,636,.347,425,588,.723,313,1080,368,178,121,369,528
86,Florida A&M,27,12,15,.444,-12.17,-6.24,,10,6,,8,0,,4,13,,1824,1984,,1105,664,1582,.420,107,377,.284,389,613,.635,323,944,272,202,51,415,519
87,Florida Atlantic,32,17,15,.531,-1.66,-1.25,,8,10,,14,3,,2,12,,2275,2222,,1295,822,1928,.426,266,813,.327,365,519,.703,341,1169,391,234,66,427,542
88,Florida Gulf Coast,32,10,22,.313,-10.26,-4.30,,7,9,,6,10,,4,12,,1979,2122,,1295,731,1782,.410,233,741,.314,284,412,.689,314,1095,408,195,140,495,508
89,Florida International,32,19,13,.594,0.90,-1.00,,9,9,,11,3,,6,9,,2455,2319,,1285,898,1968,.456,286,819,.349,373,574,.650,347,1141,469,280,206,482,553
90,Florida State,31,26,5,.839,17.28,7.64,,16,4,,16,0,,7,5,,2336,2037,,1250,844,1848,.457,230,655,.351,418,557,.750,350,1099,409,273,162,410,542
91,Fordham,31,9,22,.290,-3.58,-0.45,,2,16,,6,12,,1,8,,1816,1913,,1255,646,1683,.384,223,702,.318,301,455,.662,236,1021,351,219,80,385,535
92,Fresno State,30,11,19,.367,2.08,3.39,,7,11,,7,7,,4,10,,2075,2068,,1225,713,1704,.418,284,835,.340,365,519,.703,329,1112,372,147,113,383,496
93,Furman,32,25,7,.781,6.79,-1.55,,15,3,,14,1,,10,5,,2457,2123,,1290,881,1857,.474,302,859,.352,393,561,.701,249,1010,475,264,90,366,495
94,Gardner-Webb,32,16,16,.500,-5.56,-5.83,,11,7,,7,5,,6,10,,2318,2272,,1315,810,1809,.448,254,706,.360,444,640,.694,299,1118,438,201,150,399,520
95,George Mason,32,17,15,.531,0.86,1.48,,5,13,,10,7,,3,8,,2148,2168,,1285,765,1805,.424,189,622,.304,429,621,.691,380,1192,349,194,149,435,537
96,George Washington,32,12,20,.375,-3.99,0.92,,6,12,,7,9,,3,9,,2086,2243,,1300,728,1726,.422,235,733,.321,395,566,.698,249,1057,380,172,130,420,532
97,Georgetown,32,15,17,.469,10.38,9.60,,5,13,,10,8,,4,7,,2389,2364,,1280,840,1921,.437,206,595,.346,503,652,.771,375,1222,479,200,130,433,511
98,Georgia,32,16,16,.500,8.28,8.06,,5,13,,12,5,,3,9,,2428,2418,,1300,875,1941,.451,223,743,.300,455,648,.702,376,1208,431,228,104,471,604
99,Georgia Southern,33,20,13,.606,1.69,-0.83,,12,8,,11,4,,8,8,,2494,2332,,1320,874,1979,.442,260,792,.328,486,721,.674,325,1175,407,260,127,428,542
100,Georgia State,32,19,13,.594,3.09,0.13,,12,8,,12,3,,6,10,,2499,2311,,1290,879,2005,.438,278,767,.362,463,626,.740,371,1179,467,251,135,452,684
101,Georgia Tech,31,17,14,.548,10.49,9.19,,11,9,,10,6,,6,7,,2126,2059,,1250,781,1727,.452,161,516,.312,403,595,.677,299,1121,425,220,142,502,591
102,Gonzaga,33,31,2,.939,22.70,3.13,,15,1,,17,0,,10,1,,2885,2239,,1325,1048,2035,.515,246,637,.386,543,789,.688,375,1324,550,243,127,368,484
103,Grambling,32,17,15,.531,-12.39,-9.79,,11,7,,11,2,,6,12,,2280,2188,,1280,832,1837,.453,155,506,.306,461,676,.682,329,1145,412,239,128,456,589
104,Grand Canyon,30,13,17,.433,-6.32,-4.05,,8,8,,8,8,,4,6,,2116,2191,,1210,740,1641,.451,180,541,.333,456,611,.746,224,976,355,144,39,344,485
105,Green Bay,33,17,16,.515,-4.80,-2.80,,11,7,,10,5,,7,10,,2694,2643,,1335,968,2109,.459,252,683,.369,506,669,.756,325,1200,534,228,102,411,634
106,Hampton,34,15,19,.441,-12.02,-5.80,,8,10,,11,5,,3,13,,2635,2693,,1370,924,2025,.456,213,641,.332,574,821,.699,347,1248,497,171,128,397,650
107,Hartford,33,18,15,.545,-6.79,-6.02,,9,7,,9,8,,9,7,,2201,2203,,1325,773,1850,.418,253,742,.341,402,572,.703,264,1121,428,241,78,444,575
108,Harvard,29,21,8,.724,3.06,-1.55,,10,4,,11,1,,9,4,,2114,1928,,1180,763,1680,.454,209,635,.329,379,541,.701,305,1110,343,187,153,403,505
109,Hawaii,30,17,13,.567,-1.27,-2.10,,8,8,,14,6,,3,7,,2057,2016,,1205,731,1715,.426,215,652,.330,380,540,.704,287,1009,403,164,63,392,527
110,High Point,32,9,23,.281,-16.31,-5.34,,6,12,,6,9,,3,14,,2110,2396,,1290,711,1751,.406,198,619,.320,490,701,.699,360,1108,391,164,114,459,590
111,Hofstra,34,26,8,.765,3.06,-3.85,,14,4,,10,4,,11,4,,2596,2326,,1360,895,1991,.450,282,753,.375,524,669,.783,352,1184,419,235,73,383,482
112,Holy Cross,32,3,29,.094,-18.07,-4.26,,2,16,,2,12,,0,16,,2106,2537,,1295,789,1829,.431,219,689,.318,309,461,.670,280,1033,371,156,88,458,569
113,Houston,31,23,8,.742,16.46,6.30,,13,5,,14,2,,6,6,,2241,1926,,1245,788,1868,.422,216,641,.337,449,615,.730,447,1286,400,161,151,369,608
114,Houston Christian,29,4,25,.138,-17.41,-3.62,,4,16,,2,9,,2,15,,2323,2723,,1165,798,1800,.443,216,594,.364,511,684,.747,353,1046,370,164,64,487,586
115,Howard,33,4,29,.121,-21.88,-7.98,,1,15,,2,13,,1,14,,2306,2682,,1335,808,1922,.420,247,718,.344,443,637,.695,320,1088,443,180,119,486,609
116,Idaho,32,8,24,.250,-12.07,-2.10,,4,16,,5,10,,2,12,,2086,2329,,1285,784,1780,.440,156,463,.337,362,536,.675,261,1082,384,177,71,451,554
117,Idaho State,30,8,22,.267,-8.62,-1.62,,4,16,,4,9,,3,13,,2093,2198,,1215,760,1664,.457,192,551,.348,381,581,.656,291,985,350,137,73,405,458
118,Illinois,31,21,10,.677,15.27,9.84,,13,7,,15,3,,6,6,,2239,2024,,1245,811,1831,.443,175,566,.309,442,607,.728,393,1224,411,151,89,375,497
119,Illinois State,31,10,21,.323,-2.70,1.97,,5,13,,9,6,,1,11,,2050,2171,,1245,740,1745,.424,258,726,.355,312,439,.711,275,1037,373,179,77,446,529
120,Illinois-Chicago,35,18,17,.514,-3.74,-3.80,,10,8,,11,7,,5,9,,2412,2407,,1405,880,1984,.444,252,747,.337,400,584,.685,333,1310,494,201,152,549,682
121,Incarnate Word,31,9,22,.290,-18.57,-6.85,,6,14,,7,9,,2,13,,2050,2292,,1260,726,1741,.417,187,623,.300,411,558,.737,298,1000,382,224,80,474,585
122,Indiana,32,20,12,.625,15.07,10.35,,9,11,,15,4,,2,8,,2286,2135,,1285,812,1825,.445,176,540,.326,486,716,.679,361,1210,414,179,140,403,549
123,Indiana State,30,18,12,.600,3.22,1.81,,11,7,,12,1,,4,8,,2052,2004,,1205,731,1617,.452,209,555,.377,381,532,.716,227,957,377,165,102,343,509
124,Iona,29,12,17,.414,-6.23,-5.37,,9,11,,5,6,,4,9,,2030,2055,,1175,697,1586,.439,224,673,.333,412,535,.770,231,971,382,199,108,413,540
125,Iowa,31,20,11,.645,16.07,10.62,,11,9,,14,2,,4,7,,2410,2241,,1240,842,1868,.451,244,703,.347,482,643,.750,356,1162,538,191,120,375,496
126,Iowa State,32,12,20,.375,9.10,10.07,,5,13,,11,6,,0,11,,2304,2335,,1285,836,1905,.439,227,718,.316,405,543,.746,327,1097,443,238,135,425,517
127,IU Indy,32,7,25,.219,-14.89,-3.39,,3,15,,4,9,,3,14,,2256,2564,,1290,803,1945,.413,254,753,.337,396,614,.645,363,1140,431,207,79,445,571
128,Jackson State,32,15,17,.469,-10.91,-8.61,,11,7,,9,3,,6,14,,2153,2157,,1280,787,1855,.424,143,541,.264,436,649,.672,298,1036,362,260,117,410,627
129,Jacksonville,32,14,18,.438,-6.50,-5.63,,7,9,,6,7,,7,9,,2139,2133,,1295,778,1813,.429,205,643,.319,378,564,.670,327,1217,356,161,91,440,498
130,Jacksonville State,32,13,19,.406,-8.29,-6.36,,8,10,,8,6,,4,11,,2294,2218,,1285,844,1893,.446,226,680,.332,380,550,.691,354,1165,439,202,82,452,505
131,James Madison,30,9,21,.300,-9.23,-2.78,,2,16,,6,9,,3,11,,2157,2296,,1200,750,1787,.420,231,721,.320,426,652,.653,303,1128,368,187,87,373,523
132,Kansas,31,28,3,.903,24.96,11.63,,17,1,,14,1,,11,1,,2312,1882,,1245,851,1758,.484,199,578,.344,411,616,.667,333,1196,432,237,145,396,454
133,Kansas City,30,16,14,.533,-6.07,-3.62,,8,7,,9,4,,5,8,,2094,1976,,1225,771,1684,.458,214,596,.359,338,494,.684,261,936,396,242,94,390,640
134,Kansas State,32,11,21,.344,8.70,9.48,,3,15,,9,7,,1,10,,2054,2079,,1285,721,1742,.414,213,681,.313,399,604,.661,331,1050,397,277,78,459,611
135,Kennesaw State,29,1,28,.034,-22.60,-2.63,,0,16,,1,10,,0,16,,1602,2181,,1160,560,1580,.354,121,488,.248,361,513,.704,280,932,235,146,57,427,489
